title,studio,domestic_gross_x,foreign_gross,year,id_x,release_date,movie,production_budget,domestic_gross_y,worldwide_gross,id_y,rating,genre,director,writer,runtime
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",746,NR,Action and Adventure|Classics|Drama|Romance,William Beaudine,,65 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",747,NR,Classics|Comedy|Drama|Romance,Billy Wilder,,125 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",748,NR,Art House and International|Comedy|Drama,Otar Iosseliani,Otar Iosseliani,117 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",749,NR,Action and Adventure|Art House and International|Mystery and Suspense|Special Interest,Yasir Jaswal,,
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",750,NR,Documentary|Drama|Special Interest,John Ewing III,John Ewing III,60 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",753,PG,Horror|Science Fiction and Fantasy,Freddie Francis,Milton Subotsky,86 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",757,R,Action and Adventure|Drama|Mystery and Suspense,Dominic Sena,Tim Metcalfe|Stephen Levy,125 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",761,PG,Classics|Western,Arthur Penn,Leslie Stevens,102 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",762,R,Art House and International|Drama,Kim Ki-duk,,118 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",763,NR,Classics|Drama|Mystery and Suspense,Henry King,Niven Busch|Sonya Levien|Lamar Trotti,110 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",765,NR,Art House and International|Classics|Comedy|Drama,Ralph Nelson,Maurice Richlin|Blake Edwards,88 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",766,G,Action and Adventure|Animation|Comedy|Kids and Family|Science Fiction and Fantasy,Arna Selznick,Peter Sauder,76 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",768,NR,Documentary|Special Interest,Roger Weisberg,,83 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",769,R,Drama,Paul Schrader,Paul Schrader,108 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",770,NR,Classics|Comedy|Drama|Musical and Performing Arts,Henry Koster,,98 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",772,NR,Art House and International|Comedy|Drama|Romance,Vladimir Menshov,Valentin Chernykh,145 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",773,R,Art House and International|Comedy|Drama,Vincent Gallo,Vincent Gallo|Alison Bagnall,110 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",774,NR,Action and Adventure,Richard Thorpe,Myles Connolly|Paul Gangelin,80 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",776,PG,Comedy|Drama,Woody Allen,Woody Allen,88 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",778,R,Comedy|Drama|Sports and Fitness,Ted Kotcheff,Peter Gent|Ted Kotcheff|Frank Yablans,119 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",784,PG-13,Classics|Comedy|Drama,Lewis Milestone,Charles Lederer|Harry Brown,128 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",785,NR,Classics|Comedy|Musical and Performing Arts|Romance,David Miller,Fay Kanin|Michael Kanin,117 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",786,NR,Action and Adventure|Drama|Special Interest,Jarrett Lee Conaway,,23 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",787,NR,Horror,Derek Cole,Stephen Twardokus,90 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",788,R,Drama,Michael Showalter,Laura Terruso|Michael Showalter,95 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",789,NR,Drama,Tom Collins,Tom Collins|Jimmy Murphy,87 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",792,NR,Action and Adventure|Animation|Kids and Family|Science Fiction and Fantasy,,,96 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",793,PG-13,Drama|Romance,Jack Fisk,Naomi Foner,85 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",794,R,Drama|Mystery and Suspense,Bruce Robinson,Bruce Robinson,125 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",797,PG,Drama,Charles Burnett,Charles Burnett,102 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",798,NR,Drama,Ingemo Engstrom,,157 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",800,PG-13,Action and Adventure|Drama,Oley Sassone,Mark Sevi,90 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",801,R,Comedy|Drama|Romance,Bud Yorkin,Ted Mann|Ron Nyswaner,110 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",802,R,Comedy|Science Fiction and Fantasy,,,95 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",805,PG,Action and Adventure|Drama,,Hugh Whitemore,98 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",807,R,Action and Adventure|Drama|Mystery and Suspense,Wolfgang Petersen,,124 minutes
Fireflies in the Garden,,70600.0,3300000,2011,34,"Oct 14, 2011",Fireflies in the Garden,"$8,000,000","$36,884","$3,587,191",808,R,Comedy,Michael Moore,Michael Moore,95 minutes
